fare_id,route_id
1,001
1,002
1,003
1,004
1,005
1,006
1,007
1,008
1,009
1,011
1,012
1,013
1,014
1,015
1,016
1,017
1,018
1,020
1,023
1,025
1,026
1,027
1,029
2,030
2,031
2,032
1,033
1,034
1,036
1,037
1,041
1,043
1,044
1,045
1,047
1,050
1,057
1,058
1,064
1,090
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,109
1,110
1,111
1,112
1,113
1,114
1,115
1,116
1,117
1,118
1,119
1,120
1,121
3,800
6,918
6,919
6,922
6,960
6,961
6,962
6,967
